MANUAL_FORMAT,IS_ETHNIC,CONFIDENCE,NOTES,name,address,category,alternate_categories,brand_name,streetview_url,id,brand_id,website,phone,source_count,latitude,longitude
,,,,Healthy Family Nutrition Oxnard,2190 Saviers Rd,supermarket,['grocery_store' 'eat_and_drink'],,"https://www.google.com/maps/@34.1786071,-119.1772489,3a,75y,0h,90t/data=!3m4!1e1!3m2",7b3cac8a-d267-4906-9fe6-066824ab94ae,,,+18053854300,2,34.1786071,-119.1772489
,,,,Abarrotes Don Pepe,AVENIDA RODOLFO SANCHEZ TABOADA,grocery_store,['supermarket'],,"https://www.google.com/maps/@32.6355622,-114.8495954,3a,75y,0h,90t/data=!3m4!1e1!3m2",c53d6f67-11d5-4f83-a357-44f4c45eeb16,,,+526865424770,2,32.6355622,-114.8495954
,,,,Shell,3103 Atchison St,gas_station,['convenience_store' 'energy_company'],Shell,"https://www.google.com/maps/@37.7382133,-120.9388298,3a,75y,0h,90t/data=!3m4!1e1!3m2",d655e6a6-e5aa-4081-9029-908ed7c48263,,http://www.shell.us/,+12098693030,2,37.7382133,-120.9388298
,,,,Trader Joe's,10345 S Eastern Ave,grocery_store,['supermarket' 'organic_grocery_store'],Trader Joe's,"https://www.google.com/maps/@36.0009175,-115.1092501,3a,75y,0h,90t/data=!3m4!1e1!3m2",2742e07d-fec6-4bb5-bb07-70dbc8325dcf,,https://locations.traderjoes.com/nv/henderson/280/,+17024078673,2,36.0009175,-115.1092501
,,,,Abarrotes Los Fierritos,Calle Río Zitácuaro 881,grocery_store,['supermarket' 'convenience_store'],,"https://www.google.com/maps/@32.6022681,-115.384458,3a,75y,0h,90t/data=!3m4!1e1!3m2",b63fd4bc-473a-4e1c-b605-0cb629adf200,,,+526861803550,2,32.6022681,-115.384458
,,,,Shop Smart,201 Empire Dr,grocery_store,,,"https://www.google.com/maps/@40.12013030611168,-123.82383679691142,3a,75y,0h,90t/data=!3m4!1e1!3m2",b795c7a5-b74a-43db-b99f-4ec562960143,,https://www.shopsmartfoods.com,(707) 923-2172,2,40.12013030611168,-123.82383679691142
,,,,ExtraMile,14902 Beach Blvd,convenience_store,['gas_station'],ExtraMile,"https://www.google.com/maps/@33.7461991,-117.9892172,3a,75y,0h,90t/data=!3m4!1e1!3m2",93719fab-374f-48f9-8773-71688eb252a2,,https://www.chevronextramile.com/station-finder/14902-beach-blvd-westminster-ca-92683-5345-id202325,+17148971357,2,33.7461991,-117.9892172
,,,,7-Eleven,"C. Fontellas 1398. Col. La Condesa. Mexicali, Baja California",convenience_store,,7-Eleven,"https://www.google.com/maps/@32.590783,-115.331853,3a,75y,0h,90t/data=!3m4!1e1!3m2",9f863b26-758b-4836-922d-139c160d6ee2,Q259340,,,2,32.590783,-115.331853
,,,,Mercado El Garitón,Calle Heroico Colegio Militar 1115,grocery_store,['shopping'],,"https://www.google.com/maps/@32.6516985,-115.5055881,3a,75y,0h,90t/data=!3m4!1e1!3m2",7de3baca-ae2e-4d60-bc28-d06460efc790,,,,2,32.6516985,-115.5055881
,,,,Wing Hop Fung,400 S Baldwin Ave,grocery_store,['specialty_grocery_store' 'supermarket'],,"https://www.google.com/maps/@34.1346985,-118.052811,3a,75y,0h,90t/data=!3m4!1e1!3m2",5a410007-0f36-4297-8096-4806a81e3946,,http://www.winghopfung.com,+16265088888,2,34.1346985,-118.052811
,,,,Mercado Winton,6592 N Winton Way,mexican_restaurant,['grocery_store' 'texmex_restaurant'],,"https://www.google.com/maps/@37.383065,-120.612107,3a,75y,0h,90t/data=!3m4!1e1!3m2",a5faa988-8223-4e66-909d-0d4041f03cbd,,https://mercadowinton.wixsite.com/grocery,+12093578010,2,37.383065,-120.612107
,,,,JT Asian Market,1215 S Santa Fe Ave,grocery_store,['supermarket' 'shopping'],,"https://www.google.com/maps/@33.188169,-117.2260252,3a,75y,0h,90t/data=!3m4!1e1!3m2",ad72e1ba-f3bc-4a71-a3f7-7815fd7131fe,,,+17602950573,2,33.188169,-117.2260252
,,,,Grocery Outlet,3550 Bernal Ave,grocery_store,['discount_store' 'supermarket'],Grocery Outlet,"https://www.google.com/maps/@37.6619594,-121.8560501,3a,75y,0h,90t/data=!3m4!1e1!3m2",23855241-bf52-40ee-8e70-f4f644b17c1c,,https://www.groceryoutlet.com/circulars/storeid/478?utm_source=fb&utm_medium=yext,+19253988649,2,37.6619594,-121.8560501
,,,,El Potrillo Market,4151 W 3rd St,grocery_store,['supermarket' 'shopping'],,"https://www.google.com/maps/@34.0693166,-118.3042907,3a,75y,0h,90t/data=!3m4!1e1!3m2",dcde6d83-dad0-429d-a735-91924e752857,,,+12134873217,2,34.0693166,-118.3042907
,,,,Olivehurst Food Center,4900 Powerline Rd,grocery_store,['supermarket' 'eat_and_drink'],,"https://www.google.com/maps/@39.0963069,-121.5448349,3a,75y,0h,90t/data=!3m4!1e1!3m2",5eb8b2cf-0130-47fd-8ed1-b27d86666dfc,,,+15309232503,2,39.0963069,-121.5448349
,,,,Dollar Tree,251 Ranch Dr,convenience_store,['discount_store' 'retail'],,"https://www.google.com/maps/@37.429848,-121.9214449,3a,75y,0h,90t/data=!3m4!1e1!3m2",9b1ca26b-565c-4373-8004-2e274ef3c8ad,,http://www.dollartree.com/locations/ca/milpitas/4293/,4089645835,2,37.429848,-121.9214449
,,,,Arp Mini-Market,25775 Patterson Pass Rd,convenience_store,['grocery_store'],,"https://www.google.com/maps/@37.7190891,-121.5370386,3a,75y,0h,90t/data=!3m4!1e1!3m2",d5ee2cc4-d181-4039-a2a4-e959b0389ead,,,+12098357777,2,37.7190891,-121.5370386
,,,,Albas Oranges,9077 Victoria Ave,grocery_store,['health_food_store'],,"https://www.google.com/maps/@33.91041,-117.42612,3a,75y,0h,90t/data=!3m4!1e1!3m2",94f0d44a-d79b-4a51-82d0-b02e8f6306e9,,,+13109465519,2,33.91041,-117.42612
,,,,Milliken Liquor,9635 Milliken Ave,liquor_store,['grocery_store' 'eat_and_drink'],,"https://www.google.com/maps/@34.0787645,-117.5577852,3a,75y,0h,90t/data=!3m4!1e1!3m2",ea92cebf-71c2-43da-8ccf-fb50e20c0cc8,,http://www.healthysmilesrus.com,+19095813100,2,34.0787645,-117.5577852
,,,,West Coast Farmers Market Association,320 Mariposa Street,farmers_market,['fruits_and_vegetables' 'grocery_store'],West Coast Farmers Market Association,"https://www.google.com/maps/@36.8444999,-121.53678,3a,75y,0h,90t/data=!3m4!1e1!3m2",03eab9ea-d1db-4610-946d-2163243893a0,,,+16502903549,2,36.8444999,-121.53678
,,,,ARCO,150 E Monte Vista Ave,gas_station,['convenience_store' 'chemical_plant'],ARCO,"https://www.google.com/maps/@37.5216438,-120.8468132,3a,75y,0h,90t/data=!3m4!1e1!3m2",80ee3bfe-1bd5-48cc-825f-14b56aabc1f9,,https://www.arco.com/en-us/northwest/,+13096681818,2,37.5216438,-120.8468132
,,,,Central Gas,1825 Cutting Blvd,gas_station,['convenience_store'],,"https://www.google.com/maps/@37.9252755,-122.3515125,3a,75y,0h,90t/data=!3m4!1e1!3m2",f6e3e695-2137-4f2e-a436-0b6efce04827,,,+15106094938,2,37.9252755,-122.3515125
,,,,Tuolumne Certified Farmers Market,18640 Main St,farmers_market,['grocery_store' 'fruits_and_vegetables'],,"https://www.google.com/maps/@37.961077,-120.238011,3a,75y,0h,90t/data=!3m4!1e1!3m2",1a5563c4-b16a-431c-b86b-8c6982767f5b,,http://www.realtimefarms.com/market/tuolumne-memorial-park-cfm,+12099284351,2,37.961077,-120.238011
,,,,Salvia Blanca Mercadito Organico,Boulevard Alberto Limón Padilla 17515,grocery_store,,,"https://www.google.com/maps/@32.5334483,-116.9413128,3a,75y,0h,90t/data=!3m4!1e1!3m2",8c3c0d19-3169-4064-ad70-bec19b0fe728,,,+526632011696,2,32.5334483,-116.9413128
,,,,ARCO,12185 State Highway 33,gas_station,['convenience_store' 'chemical_plant'],ARCO,"https://www.google.com/maps/@37.1121789,-121.0162821,3a,75y,0h,90t/data=!3m4!1e1!3m2",ba69bde5-b945-41c0-b50c-8ee600872ba0,,https://www.arco.com/en-us/northwest/,+12098279065,2,37.1121789,-121.0162821
,,,,La Esperanza Food Center,823 E Cleveland Ave,grocery_store,['mexican_restaurant' 'restaurant'],,"https://www.google.com/maps/@36.9749871,-120.0569801,3a,75y,0h,90t/data=!3m4!1e1!3m2",d847c4f9-6746-41fb-b087-c8b369a55369,,http://www.migonline.com,+15596740411,2,36.9749871,-120.0569801
,,,,7-Eleven,3310 E Imperial Hwy,convenience_store,['grocery_store' 'supermarket'],7-Eleven,"https://www.google.com/maps/@33.9088729,-117.8516683,3a,75y,0h,90t/data=!3m4!1e1!3m2",b588cfcb-f62a-4ff1-865b-dd06befa80dd,,https://www.7-eleven.com/locations/ca/brea/3310-e-imperial-hwy-35718,+17147920540,2,33.9088729,-117.8516683
,,,,Mina Mini Market & Tobacco,1455 E Rosecrans Ave,convenience_store,['tobacco_shop' 'retail'],,"https://www.google.com/maps/@33.9034204,-118.2241357,3a,75y,0h,90t/data=!3m4!1e1!3m2",b79bb631-5958-4fb6-a32c-e8d6c1853964,,https://www.minaminimarket.com/,3109338650,2,33.9034204,-118.2241357
,,,,Dulcería Olivia,CALZADA VILLA OBREGON 3399,candy_store,['grocery_store' 'shopping'],,"https://www.google.com/maps/@32.6085124,-115.3773628,3a,75y,0h,90t/data=!3m4!1e1!3m2",d3632ecd-934e-475b-9e73-cb92c92a57ee,,,+526861191563,2,32.6085124,-115.3773628
,,,,Speedway,2338 Del Monte Ave,convenience_store,['gas_station' 'grocery_store'],Speedway,"https://www.google.com/maps/@36.6039377,-121.8618605,3a,75y,0h,90t/data=!3m4!1e1!3m2",f10fa6ac-f100-47ff-ad33-b0de560bddb3,,https://www.speedway.com/locations/CA/Monterey/2338-Del-Monte-Ave,+18313736852,2,36.6039377,-121.8618605
,,,,Bob's Liquor and Food ATM,510 W J St,convenience_store,['atms' 'liquor_store'],,"https://www.google.com/maps/@38.0559945,-122.1655111,3a,75y,0h,90t/data=!3m4!1e1!3m2",eecf6a1e-a0e4-4cc5-9b3e-1a6da949d799,,,+17077451521,2,38.0559945,-122.1655111
,,,,Dollar General,15363 Village Dr,discount_store,['grocery_store'],Dollar General,"https://www.google.com/maps/@34.530271,-117.3173194,3a,75y,0h,90t/data=!3m4!1e1!3m2",2c523629-b5d3-4ba4-8a46-5aa752245ebe,,https://www.dollargeneral.com/store-directory/ca/victorville/23020,+14423861064,2,34.530271,-117.3173194
,,,,B & B Liquor,141 E Broadway,liquor_store,['convenience_store' 'grocery_store'],,"https://www.google.com/maps/@33.2009934,-117.2419263,3a,75y,0h,90t/data=!3m4!1e1!3m2",9496933d-40ae-4e5d-aff9-4fc8c3c1c9b2,,,+17607260912,2,33.2009934,-117.2419263
,,,,Nine Liquor,2964 Yorba Linda Blvd,liquor_store,['eat_and_drink' 'convenience_store'],,"https://www.google.com/maps/@33.8874469,-117.8760472,3a,75y,0h,90t/data=!3m4!1e1!3m2",da816eb8-ba5b-4f78-98ce-cb5a7cfc0fe2,,http://nineliquor1.placeweb.site,+17147920550,2,33.8874469,-117.8760472
,,,,Death Valley Marketplace,3280 W Bell Vista Ave,convenience_store,['supermarket' 'grocery_store'],,"https://www.google.com/maps/@36.2639986,-116.0730678,3a,75y,0h,90t/data=!3m4!1e1!3m2",3c3b9484-a09f-41fd-827a-5ce755af2d15,,,+18084434847,2,36.2639986,-116.0730678
,,,,A & J  Market,5207 S Figueroa St,grocery_store,['supermarket' 'bakery'],,"https://www.google.com/maps/@33.995416,-118.282906,3a,75y,0h,90t/data=!3m4!1e1!3m2",990a671f-2328-4a40-a48e-6d5f5064db6b,,,+3232387889,2,33.995416,-118.282906
,,,,Dollar General,25352 W Main St,discount_store,['grocery_store' 'supermarket'],Dollar General,"https://www.google.com/maps/@34.8781924,-117.1076943,3a,75y,0h,90t/data=!3m4!1e1!3m2",10342f50-79ac-408e-b81a-67f4311babf3,,https://www.dollargeneral.com/store-directory/ca/barstow/22201,+14422334465,2,34.8781924,-117.1076943
,,,,Big John's,8032 Mountain Ranch Rd,gas_station,['convenience_store' 'grocery_store'],,"https://www.google.com/maps/@38.2278254,-120.5426694,3a,75y,0h,90t/data=!3m4!1e1!3m2",092a7620-abbc-4ce8-a39a-3427755469e7,,,+12097549550,2,38.2278254,-120.5426694
,,,,Wm bazar,Boulevard Lázaro Cárdenas 989,grocery_store,,,"https://www.google.com/maps/@32.6249873,-115.4302602,3a,75y,0h,90t/data=!3m4!1e1!3m2",9cb7ab3d-d59a-4584-a5e5-202a368ffe12,,,+526862886444,2,32.6249873,-115.4302602
,,,,Harry's  S P Liquor,4556 Auburn Blvd,liquor_store,['shopping' 'convenience_store'],,"https://www.google.com/maps/@38.649809,-121.3580093,3a,75y,0h,90t/data=!3m4!1e1!3m2",06cd7001-5cc0-4814-95fa-4bc7a483a350,,http://spliquors.com/,+19164853734,2,38.649809,-121.3580093
,,,,Decamere Supermarket,1001 Valencia St,supermarket,['grocery_store' 'convenience_store'],,"https://www.google.com/maps/@37.756819,-122.420958,3a,75y,0h,90t/data=!3m4!1e1!3m2",af99d1e7-2011-4b9d-a5e9-09db7a520b08,,,+14156485074,2,37.756819,-122.420958
,,,,Thaj Yeeb Market,4905 E Kings Canyon Rd,grocery_store,['supermarket' 'fruits_and_vegetables'],,"https://www.google.com/maps/@36.7372034,-119.7312621,3a,75y,0h,90t/data=!3m4!1e1!3m2",4df5593f-7ca8-4753-9715-3cec166de5eb,,,+15593745950,2,36.7372034,-119.7312621
,,,,Modelorama 3 Estrellas,Calle Río Quelite 1201a,grocery_store,['supermarket' 'beer_garden'],Modelorama,"https://www.google.com/maps/@32.6344051,-115.4253813,3a,75y,0h,90t/data=!3m4!1e1!3m2",af156d3b-605f-4948-b013-0531557e7d45,,,+526862267921,2,32.6344051,-115.4253813
,,,,Smith's,2211 N Rampart Blvd,supermarket,['grocery_store' 'pharmacy'],Smith's Food and Drug Stores,"https://www.google.com/maps/@36.2016547,-115.2840313,3a,75y,0h,90t/data=!3m4!1e1!3m2",578329b1-d2c1-44c1-9dcf-4d2e63eef030,,https://www.smithsfoodanddrug.com/stores/grocery/nv/las-vegas/2211-n-rampart-blvd-las-vegas-nv/706/00385?cid=loc_70600385_fb,+17022565200,2,36.2016547,-115.2840313
,,,,Northgate Gonzalez Markets,2633 Santa Ana St,grocery_store,['supermarket'],Northgate Gonzalez Markets,"https://www.google.com/maps/@33.964795,-118.2241563,3a,75y,0h,90t/data=!3m4!1e1!3m2",4e1abe61-715c-4826-ae14-7774081ad30b,,http://www.northgatemarket.com/,+3232773000,2,33.964795,-118.2241563
,,,,Pucker & Pout,7250 S Durango Dr,convenience_store,['shopping'],,"https://www.google.com/maps/@36.05644,-115.27844,3a,75y,0h,90t/data=!3m4!1e1!3m2",12e8ae0c-0c7f-4f8b-a414-326b9c06d3a0,,http://puckerpout.company.site/,+18593041659,2,36.05644,-115.27844
,,,,7-Eleven,Colonia: INDECO UNIVERSIDAD. CALZADA TECNOLOGICO # 13801,convenience_store,,7-Eleven,"https://www.google.com/maps/@32.531249,-116.958458,3a,75y,0h,90t/data=!3m4!1e1!3m2",28dd1990-35b9-412a-90d8-97e0712b6421,Q259340,,,2,32.531249,-116.958458
,,,,Evergreen Food Store,2414 N Marks Ave,grocery_store,['convenience_store'],,"https://www.google.com/maps/@36.7722681,-119.8436567,3a,75y,0h,90t/data=!3m4!1e1!3m2",48a70328-2da2-491f-a7b2-eeb89f9b0951,,,+15592880311,2,36.7722681,-119.8436567
